"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208983_s_at",1.49895363676214,9.48991259064486,16.6114048156705,1.42588020045794e-31,2.88844440970949e-29,61.341332339175
"209283_at",1.26419375881949,8.24599178718692,16.5345050628979,2.04798059635507e-31,4.1112749214937e-29,60.9817426515725
"205247_at",0.992710972269178,7.56432932772897,16.5127316776963,2.26937331860423e-31,4.51503979093375e-29,60.8797916646422
"212111_at",0.885275126334273,8.56551924719626,16.4979356372636,2.43340794678887e-31,4.79855126356606e-29,60.810476746878
"213317_at",3.08355136849367,9.29604899481308,16.4630613850766,2.86879933395049e-31,5.60749610161569e-29,60.6469914303089
"212822_at",1.26917229841204,9.23101410459813,16.4597264580592,2.91433560976284e-31,5.64696872976917e-29,60.6313496904511
"204975_at",2.02715987073821,10.6101688395234,16.4507686182562,3.04028025009943e-31,5.84022110456601e-29,60.5893279237586
"218950_at",0.940696446050317,8.54603120700935,16.4355833931374,3.26641260717748e-31,6.22098052356716e-29,60.5180698368355
"203571_s_at",2.70546276318719,8.55214836058878,16.4311400075578,3.33572667026832e-31,6.29915232149059e-29,60.4972132982711
"217437_s_at",1.4334600178575,7.08924661246729,16.3674286038153,4.50885890842351e-31,8.44293302994968e-29,60.197886763692
"201348_at",2.11088226987404,11.7950269641308,16.3636077505285,4.59116014270695e-31,8.52540178832825e-29,60.1799194180625
"221748_s_at",1.65817753771957,11.2853584867196,16.2935887770014,6.39769425505446e-31,1.17818033954858e-28,59.8503319099675
"202747_s_at",1.27762184799508,9.6677389278972,16.2433387511214,8.12087248150376e-31,1.4832573893881e-28,59.613417113286
"209840_s_at",1.75553804688142,7.5965004105514,16.197524772337,1.00961700016572e-30,1.82904842395876e-28,59.3971393263219
"219059_s_at",1.23065680179522,8.61262485098131,16.1686563204432,1.1582314810319e-30,2.08136065256723e-28,59.260721820326
"219866_at",2.34282370976883,9.05992671952336,16.1057643774644,1.56270737879048e-30,2.78574468172707e-28,58.9631636843044
"206658_at",2.70631248795919,7.11419045364486,16.0477186634003,2.06122192359882e-30,3.64525461298035e-28,58.6880935004505
"213900_at",1.31001294184659,8.16313376297196,16.0389677593903,2.14915992817338e-30,3.77084493539271e-28,58.6465875948243
"204153_s_at",0.90692600064145,8.57893403423365,16.0182665632343,2.3725019863337e-30,4.13019232511515e-28,58.5483627703674
"200700_s_at",-1.42227021201337,10.5777351008505,-15.9777801010435,2.87904715712343e-30,4.97316339551795e-28,58.3561041146284
"214091_s_at",2.16680330984589,11.0883378167477,15.9564191178634,3.18878642894654e-30,5.46582523047813e-28,58.2545843358429
"209612_s_at",3.34690475788705,9.44276786326168,15.9488713259625,3.30606600812308e-30,5.62359304267226e-28,58.2186992282685
"218346_s_at",1.19538618881703,9.23129952292523,15.9456783725696,3.35697528849393e-30,5.66693032981138e-28,58.2035165586571
"212071_s_at",1.31508742583251,11.4235617991215,15.9010851382767,4.15616727777694e-30,6.93821253324488e-28,57.9913403792101
"209493_at",2.25984359943209,7.71080879957944,15.8993005337015,4.19186068723204e-30,6.93821253324488e-28,57.9828440099455
"212713_at",2.11139929385222,9.1814529222243,15.898723498221,4.20346762997827e-30,6.93821253324488e-28,57.9800967021974
